date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:54	118/118	---M-Z	200	added ('OK')	text/plain	date:Wed,%2028%20Sep%202022%2015:23:53%20GMT	https://politicalwp.themeslr.com/robots.txt		(from )
20:53:55	172381/172381	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202022%2015:23:53%20GMT	https://politicalwp.themeslr.com/	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/index.html	(from )
20:53:56	699/699	---M--	403	error ('Forbidden')	text/html	date:Wed,%2028%20Sep%202022%2015:23:55%20GMT	https://politicalwp.themeslr.com/xmlrpc.php	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/xmlrpc.0.delayed	(from https://politicalwp.themeslr.com/)
20:53:56	8760/8760	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Apr%202017%2011:55:14%20GMT	https://politicalwp.themeslr.com/wp-content/themes/politicalwp/images/theme_favicon.png	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-content/themes/politicalwp/images/theme_favicon.png	(from https://politicalwp.themeslr.com/)
20:54:03	865389/865389	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2019:02:57%20GMT	https://politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-c9a3ab654f82089740c8cde1fb910e7007eabd28.min.css	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-c9a3ab654f82089740c8cde1fb910e7007eabd28.min.css	(from https://politicalwp.themeslr.com/)
20:54:06	611003/611003	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2019:59:07%20GMT	https://politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-95bbcd3a8e8701079e5b61c11950d6cbb700f37b.min.css	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-95bbcd3a8e8701079e5b61c11950d6cbb700f37b.min.css	(from https://politicalwp.themeslr.com/)
20:54:06	49672/49672	---MC-	200	added ('OK')	text/javascript	date:Sun,%2011%20Sep%202022%2013:50:09%20GMT	http://www.google-analytics.com/analytics.js	D:/Sudhiksha/partTime/Political%20Party/www.google-analytics.com/analytics.js	(from https://politicalwp.themeslr.com/)
20:54:06	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2009%20Dec%202019%2022:04:01%20GMT	https://politicalwp.themeslr.com/wp-includes/js/jquery/jquery.js	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-includes/js/jquery/jquery.js	(from https://politicalwp.themeslr.com/)
20:54:06	244/244	---M--	200	added ('OK')	text/calendar	date:Wed,%2028%20Sep%202022%2015:23:57%20GMT	https://politicalwp.themeslr.com/events/?ical=1	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/events/indexedf3.html	(from https://politicalwp.themeslr.com/)
20:54:07	14802/14802	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202020%2019:02:58%20GMT	https://politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-196a8131980f9294edc2d89b0680dc429d777c1f.min.js	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-196a8131980f9294edc2d89b0680dc429d777c1f.min.js	(from https://politicalwp.themeslr.com/)
20:54:09	840229/840229	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202020%2019:02:59%20GMT	https://politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-914a4d53fc79250195d7c8e74d0e4157f708f3bb.min.js	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-content/uploads/cache/fvm/1600714823/out/header-914a4d53fc79250195d7c8e74d0e4157f708f3bb.min.js	(from https://politicalwp.themeslr.com/)
20:54:10	55448/55448	---MC-	200	added ('OK')	application/json	date:Wed,%2028%20Sep%202022%2015:24:08%20GMT	https://politicalwp.themeslr.com/wp-json/wp/v2/pages/869	D:/Sudhiksha/partTime/Political%20Party/politicalwp.themeslr.com/wp-json/wp/v2/pages/869.json	(from https://politicalwp.themeslr.com/)
